Metrics Name,Value,1 Day Change,Difficulty Period Change,MTD Change,90 Day Change,YTD Change,4 Year CAGR,52 Week Low,52 Week High
Hashrate,"464,629,499",-0.006666671978666772,-0.89,0.03546258441385408,0.13546462947359728,0.7581377806212497,0.5067303718320153,"222,004,888","474,862,957"
Transaction Count,"572,966",0.1813789415418101,61.34,0.3629249602233984,0.02889219355155004,2.3250244250217844,0.17959051478684707,"241,894","595,776"
Transaction Volume,"$4,193,297,180",-0.41338531120119093,-44.16,-0.4830453563137491,0.5798141897840206,0.8673781320554219,0.12766455090205064,"$2,231,870,196","$5,167,343,047"
Avg Transaction Size,"$7,566",-0.012839209207480384,-4.24,-0.10559630942431719,0.17120096025075449,0.12226247957668979,-0.05793774403392227,"$3,955","$17,134"
Active Address Count,"860,889",-0.15104057780074398,-3.43,-0.18246566340402137,-0.07403810163016122,0.1961509817761451,0.011310360040704737,"549,932","1,234,300"
+$10 USD Address,"31,260,528",0.0033352147958054523,3.83,0.041907956552705405,0.09323336000856952,0.29790691341317643,0.22880893413556413,"23,962,279","31,260,528"
Miner Revenue,"$45,621,887",0.05762473238739352,21.65,0.3507358781329175,0.6962184384532981,1.8151343586272648,0.3164789537145365,"$9,658,074","$45,621,887"
Fees In USD,"$11,559,160",0.30581415275936386,573.81,13.828018040138938,28.44594217774621,96.83888836227361,1.5487042728179943,"$115,344","$17,419,674"
1+ Year Supply %,69.88%,0.001858792567119849,1.37,0.023237915381398855,0.018457712695585382,0.050239010753406976,0.06570084936507903,66.18%,69.88%
1 Year Velocity,6.20,-0.004747764512238017,-12.12,-0.13181579757788509,-0.5218815598599729,-0.7871422064401761,-0.19321571884199584,6.20,30.20
