Model,Model Multiple / Value
Bitcoin Price,57722.0113527177
4 Year CAGR,"(0.5810682517731951,)"
Stock-Flow Multiple,0.3052501337407725
200 Day Price Multiple,0.9799293760667894
Realized Price Multiple,1.8736714564154247
Thermocap Multiple,17.065997984274208
Production Price Multiple,0.4760478142966845
Silver Price Level,42028.02422682976
Gold Country Price Level,111739.91814784137
Gold Private Ownership Price Level,144604.59995603
Total Gold Price Level,643220.9351094186
META Price Level,66371.20473395838
Amazon Price Level,102627.79753946346
Google Price Level,116856.44290026953
Microsoft Price Level,170979.92350017998
Apple Price Level,176574.47242650375
UK Price Level,58812.85096682574
Japan Price Level,228153.3011644102
China Price Level,243870.52857795844
US Price Level,274290.96873321314
EU Price Level,312316.5189272815
