Valuation Model,Model Price,Difficulty Period Change,BTC Price,Buy Target,Sell Target,% To Buy Target,% To Model Price,% To Sell Target
200 Day Moving Average,48639.40851778784,-13.0,63429.3099649328,33896.80379604634,105348.09490867668,-0.46559715351173847,-0.2331714069618861,0.660874049661251
NVT Price,31834.488365367033,-15.25,63429.3099649328,17190.6237172982,66215.73579996343,-0.7289798087539953,-0.4981107569518432,0.043929625540166134
Realized Price,28827.661374384625,1.12,63429.3099649328,25483.65265495601,91758.44615466626,-0.5982353793688632,-0.5455151350326507,0.4466253251910728
ThermoCap Price,26171.910008591778,1.3,63429.3099649328,16357.443755369863,83167.78702980254,-0.7421153759293116,-0.5873846014868986,0.31118858262500804
Stock To Flow Price,110365.17425490804,27.93,63429.3099649328,20570.833729697082,219895.11917952055,-0.6756888299577946,0.7399712264869972,2.466774576313232
Silver Market Cap,22423.343995304702,-3.02,63429.3099649328,18882.815996046065,37252.68070339718,-0.7023014122889635,-0.6464829270931443,-0.4126898002832996
UK M0 Price,23017.69788396857,-0.05,63429.3099649328,12394.145014444613,58910.397998465254,-0.8045990880036883,-0.6371125920068496,-0.07124327805183199
Apple Market Cap,43894.58161109569,-0.05,63429.3099649328,19952.08255049804,132767.46170143466,-0.6854438025334243,-0.3079763655735335,1.093156330643291
US M0 Price,57803.72804150462,-0.05,63429.3099649328,24773.026303501978,274745.9079066354,-0.6094388175246134,-0.08869057422409783,3.3315291946030943
Gold Market Cap,80764.94128738718,-1.29,63429.3099649328,40382.47064369359,637343.6187563672,-0.36334683971780185,0.27330632056439624,9.048093209727895
